confidence,layer,dropout,output
0.917252,8,50,bee 
0.903708,8,55,bee 
0.894631,8,60,bee 
0.893472,8,65,bee 
0.850825,8,70,bee 
0.794285,8,75,bee 
0.586847,8,80,bee 
0.202565,8,85,bee 
0.0362391,8,90,bee 
0.00551871,8,95,ant emmet pismire 
0.00121496,8,100,velvet 
0.98475,9,0,bee 
0.960846,9,5,bee 
0.951752,9,10,bee 
0.905111,9,15,bee 
0.912057,9,20,bee 
0.868107,9,25,bee 
0.8877,9,30,bee 
0.865618,9,35,bee 
0.918345,9,40,bee 
0.911275,9,45,bee 
0.775318,9,50,bee 
0.808084,9,55,bee 
0.737509,9,60,bee 
0.776581,9,65,bee 
0.504295,9,70,bee 
0.482859,9,75,bee 
0.272874,9,80,bee 
0.0657047,9,85,bee 
0.0157441,9,90,fly 
0.00530468,9,95,bee 
0.001,9,100,dumbbell 
